date,symbol,sector,open,high,low,close
2016-05-13,INCY,Health Care,70.27,73.31,69.95,73.21
2016-05-13,IQV,Health Care,65.31,66.05,65.03,65.74
2016-05-13,ISRG,Health Care,211.34,212.4967,208.8833,209.6033
2016-05-13,JNJ,Health Care,113.9,114.09,113.36,113.56
2016-05-13,LH,Health Care,125.59,127.08,125.59,126.82
2016-05-13,LLY,Health Care,75.82,77.0501,75.57,76.33
2016-05-13,MCK,Health Care,166.92,168.26,165.49,165.93
2016-05-13,MDT,Health Care,81.0,81.4999,80.55,80.71
2016-05-13,MRK,Health Care,54.1,54.51,53.83,53.88
2016-05-13,MTD,Health Care,367.31,372.0,362.14,367.93
2016-05-13,PFE,Health Care,33.33,33.45,33.135,33.19
2016-05-13,PKI,Health Care,54.3,55.055,54.0,54.45
2016-05-13,PRGO,Health Care,86.62,89.36,84.85,88.36
2016-05-13,REGN,Health Care,364.56,371.67,361.64,369.46
2016-05-13,RMD,Health Care,57.74,57.74,57.11,57.44
2016-05-13,STE,Health Care,71.3,72.11,70.965,71.16
2016-05-13,SYK,Health Care,111.91,112.01,110.41,110.91
2016-05-13,TFX,Health Care,161.5,161.955,158.85,159.2
2016-05-13,TMO,Health Care,148.37,149.35,147.4,147.89
2016-05-13,UHS,Health Care,133.11,134.47,133.07,133.61
2016-05-13,UNH,Health Care,129.1,130.03,128.55,129.0
2016-05-13,VRTX,Health Care,81.79,83.03,81.06,81.38
2016-05-13,WAT,Health Care,134.67,136.25,134.4,134.76
2016-05-13,WST,Health Care,71.19,71.82,70.83,71.66
2016-05-13,XRAY,Health Care,61.81,61.96,61.09,61.16
2016-05-13,ZBH,Health Care,117.09,118.61,116.61,117.44
2016-05-13,ZTS,Health Care,46.35,46.6,46.03,46.39
2016-05-16,A,Health Care,42.61,43.07,42.5,42.94
2016-05-16,ABBV,Health Care,61.91,62.62,61.5,62.45
2016-05-16,ABC,Health Care,73.76,74.67,73.73,74.59
2016-05-16,ABMD,Health Care,94.44,97.22,93.28,96.42
2016-05-16,ABT,Health Care,37.6,38.41,37.6,38.25
2016-05-16,ALGN,Health Care,76.4,77.6,76.36,76.98
2016-05-16,ALXN,Health Care,139.19,144.88,138.64,144.57
2016-05-16,AMGN,Health Care,152.35,153.86,151.7,153.27
2016-05-16,ANTM,Health Care,135.41,137.45,134.84,137.23
2016-05-16,BAX,Health Care,45.39,45.875,45.3,45.47
2016-05-16,BDX,Health Care,166.29,168.86,166.18,168.57
2016-05-16,BIIB,Health Care,242.1185,245.7269,241.7227,245.0917
2016-05-16,BIO,Health Care,142.91,144.782,142.91,144.31
2016-05-16,BMY,Health Care,71.42,73.01,71.015,72.83
2016-05-16,BSX,Health Care,22.37,23.01,22.3199,22.67
2016-05-16,CAH,Health Care,76.34,77.46,76.22,77.39
2016-05-16,CERN,Health Care,53.75,54.59,53.75,54.46
2016-05-16,CI,Health Care,128.31,130.92,127.86,130.01
2016-05-16,CNC,Health Care,28.32,28.795,28.12,28.57
2016-05-16,COO,Health Care,158.36,161.73,157.2101,160.33
2016-05-16,CTLT,Health Care,23.83,25.2,23.83,25.11
2016-05-16,CVS,Health Care,103.67,104.76,103.27,104.55
2016-05-16,DGX,Health Care,76.0,76.825,75.96,76.8
2016-05-16,DHR,Health Care,97.71,98.9201,97.275,98.65
2016-05-16,DVA,Health Care,75.4,77.13,75.16,77.07
2016-05-16,DXCM,Health Care,60.95,62.95,60.81,62.8
2016-05-16,EW,Health Care,34.4467,34.9733,34.3767,34.6667
2016-05-16,GILD,Health Care,82.7,83.83,82.5,83.61
2016-05-16,HCA,Health Care,78.02,78.5,77.1711,77.81
2016-05-16,HOLX,Health Care,33.8,34.29,33.71,34.11
2016-05-16,HSIC,Health Care,67.3102,68.4162,67.224,68.2907
2016-05-16,HUM,Health Care,164.91,171.9625,163.89,171.52
2016-05-16,IDXX,Health Care,87.06,88.54,86.97,88.46
2016-05-16,ILMN,Health Care,136.49,140.74,135.99,140.4
2016-05-16,INCY,Health Care,73.08,76.81,73.08,76.47
2016-05-16,IQV,Health Care,65.75,66.04,65.37,65.58
2016-05-16,ISRG,Health Care,209.7,212.9966,209.3333,211.7567
2016-05-16,JNJ,Health Care,113.39,114.63,113.31,114.44
2016-05-16,LH,Health Care,126.84,128.06,126.26,127.44
2016-05-16,LLY,Health Care,75.98,78.47,75.84,78.29
2016-05-16,MCK,Health Care,169.01,173.49,168.58,172.53
2016-05-16,MDT,Health Care,80.66,81.995,80.65,81.89
2016-05-16,MRK,Health Care,53.77,54.77,53.59,54.65
2016-05-16,MTD,Health Care,368.21,371.98,366.65,369.89
2016-05-16,PFE,Health Care,32.93,33.43,32.81,33.38
2016-05-16,PKI,Health Care,54.56,55.06,54.55,54.95
2016-05-16,PRGO,Health Care,88.56,89.39,87.72,88.73
2016-05-16,REGN,Health Care,380.0,394.4699,378.655,391.95
2016-05-16,RMD,Health Care,57.59,58.33,57.5,58.09
2016-05-16,STE,Health Care,71.18,72.53,71.18,72.36
2016-05-16,SYK,Health Care,110.86,112.6912,110.8299,112.35
2016-05-16,TFX,Health Care,159.42,162.15,158.3,161.93
2016-05-16,TMO,Health Care,147.9,150.43,147.7,150.24
2016-05-16,UHS,Health Care,133.8,135.47,133.73,135.02
2016-05-16,UNH,Health Care,128.75,130.86,128.53,130.64
2016-05-16,VRTX,Health Care,81.64,83.22,81.38,82.14
2016-05-16,WAT,Health Care,135.02,137.03,134.125,136.01
2016-05-16,WST,Health Care,71.57,73.56,70.97,73.24
2016-05-16,XRAY,Health Care,61.07,62.575,60.99,62.26
2016-05-16,ZBH,Health Care,117.48,119.99,117.45,119.6
2016-05-16,ZTS,Health Care,46.14,46.94,46.08,46.77
2016-05-17,A,Health Care,44.96,45.34,43.63,44.41
2016-05-17,ABBV,Health Care,62.44,62.7899,58.5,60.25
2016-05-17,ABC,Health Care,74.4,75.06,74.06,74.53
2016-05-17,ABMD,Health Care,95.69,96.42,93.49,94.13
2016-05-17,ABT,Health Care,38.22,38.3,37.55,37.71
2016-05-17,ALGN,Health Care,77.13,77.32,75.76,75.96
2016-05-17,ALXN,Health Care,143.81,144.39,139.38,139.96
2016-05-17,AMGN,Health Care,152.45,152.91,149.4401,150.11
2016-05-17,ANTM,Health Care,137.85,137.85,134.86,136.21
2016-05-17,BAX,Health Care,45.35,45.78,44.22,44.6
2016-05-17,BDX,Health Care,167.74,168.55,164.725,165.43
2016-05-17,BIIB,Health Care,244.07,246.5921,242.1645,242.5696
2016-05-17,BIO,Health Care,143.92,144.4,141.83,142.38
2016-05-17,BMY,Health Care,72.23,72.97,70.9,71.21
2016-05-17,BSX,Health Care,22.67,22.74,22.173,22.31
2016-05-17,CAH,Health Care,77.39,77.69,76.69,77.1
2016-05-17,CERN,Health Care,54.27,54.45,52.933,53.2
2016-05-17,CI,Health Care,129.68,130.55,128.03,130.44
2016-05-17,CNC,Health Care,28.505,28.815,28.065,28.215
2016-05-17,COO,Health Care,160.03,161.17,157.51,158.2
2016-05-17,CTLT,Health Care,24.78,25.98,24.78,25.52
2016-05-17,CVS,Health Care,104.22,104.54,101.73,102.11
2016-05-17,DGX,Health Care,76.8,77.11,75.852,76.17
2016-05-17,DHR,Health Care,98.69,99.09,98.08,98.44
2016-05-17,DVA,Health Care,76.93,77.8,76.5,76.76
2016-05-17,DXCM,Health Care,62.59,63.22,61.6,61.91
2016-05-17,EW,Health Care,34.5567,35.0667,33.3533,33.6133
2016-05-17,GILD,Health Care,83.5,83.74,82.45,82.76
2016-05-17,HCA,Health Care,77.87,78.46,76.77,77.27
2016-05-17,HOLX,Health Care,33.89,34.27,33.3735,33.57
2016-05-17,HSIC,Health Care,68.2789,68.3613,66.5812,66.8867
2016-05-17,HUM,Health Care,171.43,172.26,168.67,170.8
2016-05-17,IDXX,Health Care,88.02,88.62,86.74,87.23
2016-05-17,ILMN,Health Care,140.53,142.24,138.43,138.77
2016-05-17,INCY,Health Care,76.07,76.68,74.245,75.55
2016-05-17,IQV,Health Care,65.51,65.78,65.17,65.58
2016-05-17,ISRG,Health Care,211.4233,211.8433,206.1733,207.1267
2016-05-17,JNJ,Health Care,114.54,114.56,113.24,113.83
2016-05-17,LH,Health Care,127.39,127.76,125.13,126.19
2016-05-17,LLY,Health Care,78.21,78.71,75.52,76.39
2016-05-17,MCK,Health Care,172.13,175.38,170.24,173.51
2016-05-17,MDT,Health Care,81.5,81.82,80.48,80.81
2016-05-17,MRK,Health Care,54.41,54.57,53.98,54.32
2016-05-17,MTD,Health Care,370.4,373.47,363.3,365.65
2016-05-17,PFE,Health Care,33.27,33.34,32.92,33.03
2016-05-17,PKI,Health Care,54.92,54.98,54.12,54.42
2016-05-17,PRGO,Health Care,87.49,90.89,87.48,90.29
2016-05-17,REGN,Health Care,392.99,393.5,382.78,386.38
2016-05-17,RMD,Health Care,57.91,58.01,57.07,57.23
2016-05-17,STE,Health Care,72.42,72.42,70.26,70.37
2016-05-17,SYK,Health Care,112.05,112.42,109.76,110.14
2016-05-17,TFX,Health Care,161.35,161.93,157.55,157.91
2016-05-17,TMO,Health Care,150.19,150.95,148.06,148.82
2016-05-17,UHS,Health Care,135.02,137.0,133.45,134.41
2016-05-17,UNH,Health Care,130.57,131.22,128.99,129.56
2016-05-17,VRTX,Health Care,81.46,82.488,80.41,80.71
2016-05-17,WAT,Health Care,136.18,136.33,133.82,134.49
2016-05-17,WST,Health Care,73.15,73.62,71.0101,71.13
2016-05-17,XRAY,Health Care,62.19,62.464,60.45,60.7
2016-05-17,ZBH,Health Care,119.06,119.84,117.85,118.5
2016-05-17,ZTS,Health Care,46.71,46.92,46.23,46.5
2016-05-18,A,Health Care,44.45,44.74,43.99,44.32
2016-05-18,ABBV,Health Care,59.87,60.8,59.56,60.46
2016-05-18,ABC,Health Care,74.2,75.27,74.08,75.15
2016-05-18,ABMD,Health Care,93.75,95.35,92.03,95.06
2016-05-18,ABT,Health Care,37.75,38.1,37.49,37.75
2016-05-18,ALGN,Health Care,75.9,77.11,75.52,76.03
2016-05-18,ALXN,Health Care,139.7,142.45,139.5713,142.33
2016-05-18,AMGN,Health Care,149.91,151.43,149.21,150.83
2016-05-18,ANTM,Health Care,136.18,137.24,134.96,136.08
2016-05-18,BAX,Health Care,44.59,45.08,44.04,45.08
2016-05-18,BDX,Health Care,165.37,166.3,163.84,165.45
2016-05-18,BIIB,Health Care,241.7687,244.6867,241.412,243.2783
2016-05-18,BIO,Health Care,141.11,143.5,141.11,143.15
2016-05-18,BMY,Health Care,70.91,71.8,70.64,71.09
2016-05-18,BSX,Health Care,22.27,22.42,22.0848,22.29
2016-05-18,CAH,Health Care,77.08,78.24,76.74,77.83
2016-05-18,CERN,Health Care,53.1,53.71,52.8801,53.4
2016-05-18,CI,Health Care,130.32,130.655,128.2,129.48
2016-05-18,CNC,Health Care,28.19,28.785,28.01,28.505
2016-05-18,COO,Health Care,158.0,160.42,156.6,158.28
2016-05-18,CTLT,Health Care,25.49,26.18,25.49,26.11
2016-05-18,CVS,Health Care,101.32,102.3967,99.65,101.52
2016-05-18,DGX,Health Care,76.11,77.01,75.36,76.73
2016-05-18,DHR,Health Care,98.21,98.665,97.62,98.33
2016-05-18,DVA,Health Care,76.83,77.15,76.09,76.85
2016-05-18,DXCM,Health Care,61.8,62.11,61.0911,61.84
2016-05-18,EW,Health Care,33.59,33.8033,32.9433,33.2633
2016-05-18,GILD,Health Care,82.74,83.44,82.33,82.88
2016-05-18,HCA,Health Care,77.27,77.42,76.29,76.58
2016-05-18,HOLX,Health Care,33.39,33.94,33.04,33.28
2016-05-18,HSIC,Health Care,66.8239,67.5455,66.4984,67.0435
2016-05-18,HUM,Health Care,170.53,173.42,169.86,170.22
2016-05-18,IDXX,Health Care,87.23,88.88,87.21,88.33
2016-05-18,ILMN,Health Care,138.46,141.84,137.75,140.23
2016-05-18,INCY,Health Care,75.18,79.0,74.9,77.53
2016-05-18,IQV,Health Care,65.51,65.898,65.01,65.85
2016-05-18,ISRG,Health Care,207.2733,210.18,204.36,208.4033
2016-05-18,JNJ,Health Care,113.61,114.025,112.88,113.59
2016-05-18,LH,Health Care,126.18,126.79,125.01,126.28
2016-05-18,LLY,Health Care,76.4,76.85,75.61,76.33
2016-05-18,MCK,Health Care,172.25,181.15,172.25,179.89
2016-05-18,MDT,Health Care,80.64,81.21,80.08,80.6
2016-05-18,MRK,Health Care,54.39,54.95,54.17,54.67
2016-05-18,MTD,Health Care,363.88,371.28,362.66,367.82
2016-05-18,PFE,Health Care,33.01,33.38,32.97,33.17
2016-05-18,PKI,Health Care,54.44,54.65,53.79,54.23
2016-05-18,PRGO,Health Care,90.67,93.92,90.55,93.55
2016-05-18,REGN,Health Care,386.04,391.49,384.3,390.28
2016-05-18,RMD,Health Care,57.25,57.61,56.83,56.9
2016-05-18,STE,Health Care,64.79,69.48,64.39,68.75
2016-05-18,SYK,Health Care,109.85,110.67,109.14,109.86
2016-05-18,TFX,Health Care,157.91,159.08,156.95,157.82
2016-05-18,TMO,Health Care,148.43,151.22,148.01,150.11
2016-05-18,UHS,Health Care,134.35,135.18,132.55,133.54
2016-05-18,UNH,Health Care,129.11,131.27,128.93,130.51
2016-05-18,VRTX,Health Care,80.27,82.25,80.27,81.71
2016-05-18,WAT,Health Care,134.47,136.08,134.02,135.05
2016-05-18,WST,Health Care,70.8,71.745,70.63,71.2
2016-05-18,XRAY,Health Care,60.46,61.22,60.08,61.07
2016-05-18,ZBH,Health Care,118.25,119.72,117.85,118.82
2016-05-18,ZTS,Health Care,46.35,47.22,46.31,46.96
2016-05-19,A,Health Care,44.07,44.82,43.975,44.56
2016-05-19,ABBV,Health Care,60.06,60.35,58.9,59.28
2016-05-19,ABC,Health Care,74.46,75.31,74.34,75.05
2016-05-19,ABMD,Health Care,94.32,96.09,93.11,95.36
2016-05-19,ABT,Health Care,37.56,37.68,36.89,37.24
2016-05-19,ALGN,Health Care,75.62,77.09,74.92,75.97
2016-05-19,ALXN,Health Care,140.9,142.3,137.64,139.03
2016-05-19,AMGN,Health Care,149.45,150.225,147.12,148.67
2016-05-19,ANTM,Health Care,135.38,137.01,133.38,133.79
2016-05-19,BAX,Health Care,44.37,44.65,43.05,43.16
2016-05-19,BDX,Health Care,164.58,165.37,162.25,163.94
2016-05-19,BIIB,Health Care,241.9068,243.6557,236.034,238.1512
2016-05-19,BIO,Health Care,142.06,143.53,141.4,142.55
2016-05-19,BMY,Health Care,70.63,71.0,69.56,70.33
2016-05-19,BSX,Health Care,22.15,22.31,22.0231,22.17
2016-05-19,CAH,Health Care,77.19,78.2,76.71,77.33
2016-05-19,CERN,Health Care,53.25,53.78,52.84,53.62
2016-05-19,CI,Health Care,128.6,130.07,127.2,129.06
2016-05-19,CNC,Health Care,28.31,28.805,28.0775,28.315
2016-05-19,COO,Health Care,157.49,159.76,156.845,159.29
2016-05-19,CTLT,Health Care,26.23,27.33,26.1,26.59
2016-05-19,CVS,Health Care,101.58,102.11,100.51,100.95
2016-05-19,DGX,Health Care,76.58,77.23,75.773,76.16
2016-05-19,DHR,Health Care,97.76,98.18,97.03,97.97
2016-05-19,DVA,Health Care,76.72,78.0,76.45,77.34
2016-05-19,DXCM,Health Care,61.63,63.17,61.18,62.27
2016-05-19,EW,Health Care,33.2667,33.2667,32.4,32.6067
2016-05-19,GILD,Health Care,82.31,82.59,81.28,82.14
2016-05-19,HCA,Health Care,76.07,77.15,75.69,76.72
2016-05-19,HOLX,Health Care,33.28,33.49,32.961,33.28
2016-05-19,HSIC,Health Care,66.7063,67.3141,66.318,67.02
2016-05-19,HUM,Health Care,168.89,169.98,167.34,168.33
2016-05-19,IDXX,Health Care,87.75,88.39,87.22,88.18
2016-05-19,ILMN,Health Care,139.19,139.97,136.34,138.03
2016-05-19,INCY,Health Care,76.99,78.95,74.92,76.04
2016-05-19,IQV,Health Care,65.41,66.0,64.51,64.92
2016-05-19,ISRG,Health Care,207.1267,208.55,206.0933,207.93
2016-05-19,JNJ,Health Care,112.99,113.04,112.2,112.85
2016-05-19,LH,Health Care,125.63,127.32,125.09,126.1
2016-05-19,LLY,Health Care,75.12,75.23,73.74,74.31
2016-05-19,MCK,Health Care,179.54,183.93,178.4,180.96
2016-05-19,MDT,Health Care,80.43,80.67,79.64,80.0
2016-05-19,MRK,Health Care,54.16,54.98,54.08,54.58
2016-05-19,MTD,Health Care,367.52,375.73,360.8,363.35
2016-05-19,PFE,Health Care,33.16,33.43,32.96,33.38
2016-05-19,PKI,Health Care,53.8,54.02,53.17,53.97
2016-05-19,PRGO,Health Care,94.04,94.13,91.05,91.94
2016-05-19,REGN,Health Care,387.12,394.01,379.33,383.3
2016-05-19,RMD,Health Care,56.71,57.07,56.28,56.84
2016-05-19,STE,Health Care,68.38,70.06,68.21,70.0
2016-05-19,SYK,Health Care,109.23,109.61,108.62,109.49
2016-05-19,TFX,Health Care,157.01,158.93,156.49,158.08
2016-05-19,TMO,Health Care,149.51,149.56,146.93,148.42
2016-05-19,UHS,Health Care,132.54,134.47,132.16,133.69
2016-05-19,UNH,Health Care,129.69,131.12,128.76,130.0
2016-05-19,VRTX,Health Care,80.89,82.29,80.25,81.01
2016-05-19,WAT,Health Care,134.4,135.06,133.43,134.92
2016-05-19,WST,Health Care,70.7,71.8,70.65,71.26
2016-05-19,XRAY,Health Care,60.62,61.04,59.91,60.31
2016-05-19,ZBH,Health Care,118.23,118.94,116.93,118.19
2016-05-19,ZTS,Health Care,46.79,46.93,45.92,46.43
2016-05-20,A,Health Care,44.86,45.22,44.69,44.89
2016-05-20,ABBV,Health Care,59.63,60.05,59.03,59.69
2016-05-20,ABC,Health Care,75.14,75.33,74.36,74.82
2016-05-20,ABMD,Health Care,96.0,97.32,94.81,97.28
2016-05-20,ABT,Health Care,37.55,37.78,37.48,37.6
2016-05-20,ALGN,Health Care,76.48,78.25,76.14,77.43
2016-05-20,ALXN,Health Care,139.29,143.0,139.22,142.52
2016-05-20,AMGN,Health Care,148.92,151.71,148.65,150.18
2016-05-20,ANTM,Health Care,134.62,135.99,133.82,135.73
2016-05-20,BAX,Health Care,43.35,43.51,42.89,42.92
2016-05-20,BDX,Health Care,164.92,165.61,163.89,165.0
2016-05-20,BIIB,Health Care,238.6943,244.4382,238.4089,242.6984
2016-05-20,BIO,Health Care,143.04,144.5,143.04,144.36
2016-05-20,BMY,Health Care,70.55,71.16,70.3165,70.77
2016-05-20,BSX,Health Care,22.29,22.52,22.21,22.37
2016-05-20,CAH,Health Care,77.82,77.87,77.07,77.41
2016-05-20,CERN,Health Care,53.64,54.89,53.39,54.56
2016-05-20,CI,Health Care,129.72,131.31,129.5,131.28
2016-05-20,CNC,Health Care,28.425,28.7,28.34,28.62
2016-05-20,COO,Health Care,159.45,161.0389,156.7,160.35
2016-05-20,CTLT,Health Care,26.83,28.68,26.805,28.65
2016-05-20,CVS,Health Care,101.36,101.36,99.08,99.46
2016-05-20,DGX,Health Care,76.39,76.74,75.86,76.52
2016-05-20,DHR,Health Care,98.44,99.4,98.06,98.75
2016-05-20,DVA,Health Care,77.61,77.99,76.78,77.37
2016-05-20,DXCM,Health Care,62.7,64.08,62.435,63.82
2016-05-20,EW,Health Care,33.04,33.5,32.9,33.0367
2016-05-20,GILD,Health Care,82.17,83.08,82.07,82.64
2016-05-20,HCA,Health Care,77.24,77.99,76.79,77.12
2016-05-20,HOLX,Health Care,33.32,33.75,33.255,33.34
2016-05-20,HSIC,Health Care,67.0749,67.4553,66.5318,66.9651
2016-05-20,HUM,Health Care,168.95,169.99,168.31,169.6
2016-05-20,IDXX,Health Care,88.29,89.24,88.29,88.97
2016-05-20,ILMN,Health Care,138.77,141.57,137.47,140.51
2016-05-20,INCY,Health Care,76.34,78.99,74.99,77.65
2016-05-20,IQV,Health Care,65.12,66.84,64.78,66.55
2016-05-20,ISRG,Health Care,208.2933,211.7633,207.2333,210.86
2016-05-20,JNJ,Health Care,112.2,112.92,111.76,112.64
2016-05-20,LH,Health Care,126.6,127.04,125.97,126.61
2016-05-20,LLY,Health Care,74.79,75.54,74.68,74.81
2016-05-20,MCK,Health Care,181.79,182.88,180.13,182.29
2016-05-20,MDT,Health Care,80.44,80.92,80.18,80.52
2016-05-20,MRK,Health Care,54.83,55.54,54.63,55.11
2016-05-20,MTD,Health Care,365.37,369.33,360.81,364.05
2016-05-20,PFE,Health Care,33.48,33.9,33.45,33.74
2016-05-20,PKI,Health Care,54.38,54.43,53.595,53.95
2016-05-20,PRGO,Health Care,92.34,94.07,92.11,93.78
2016-05-20,REGN,Health Care,383.37,388.0,382.05,386.0
2016-05-20,RMD,Health Care,56.9,57.72,56.85,57.62
2016-05-20,STE,Health Care,70.26,70.5184,69.58,69.87
2016-05-20,SYK,Health Care,110.17,110.75,109.8,110.25
2016-05-20,TFX,Health Care,158.68,160.01,156.96,159.16
2016-05-20,TMO,Health Care,149.35,150.31,148.35,148.85
2016-05-20,UHS,Health Care,134.23,135.25,132.94,134.11
2016-05-20,UNH,Health Care,130.63,131.79,130.2,130.94
2016-05-20,VRTX,Health Care,81.03,85.0,80.55,84.7
2016-05-20,WAT,Health Care,135.73,136.02,134.66,135.44
2016-05-20,WST,Health Care,71.63,72.8,71.31,72.73
2016-05-20,XRAY,Health Care,60.66,61.44,60.38,60.96
2016-05-20,ZBH,Health Care,118.78,119.71,118.37,119.33
2016-05-20,ZTS,Health Care,46.7,47.1,46.52,47.06
2016-05-23,A,Health Care,44.89,44.96,44.53,44.57
2016-05-23,ABBV,Health Care,59.75,59.84,59.13,59.3
2016-05-23,ABC,Health Care,75.0,75.05,73.91,73.94
2016-05-23,ABMD,Health Care,96.88,97.53,95.815,96.99
2016-05-23,ABT,Health Care,37.72,37.75,37.27,37.37
2016-05-23,ALGN,Health Care,77.7,78.28,77.19,77.38
2016-05-23,ALXN,Health Care,142.42,144.5,141.73,142.51
2016-05-23,AMGN,Health Care,150.04,150.75,149.15,149.3
2016-05-23,ANTM,Health Care,134.7,135.11,132.91,133.18
2016-05-23,BAX,Health Care,42.95,43.08,42.57,42.7
2016-05-23,BDX,Health Care,165.04,165.54,164.12,164.15
2016-05-23,BIIB,Health Care,242.7997,245.9371,242.229,243.7938
2016-05-23,BIO,Health Care,144.48,145.06,143.3,144.15
2016-05-23,BMY,Health Care,70.93,71.0,69.61,70.4
2016-05-23,BSX,Health Care,22.15,22.5,22.0,22.36
2016-05-23,CAH,Health Care,77.27,77.62,76.73,76.74
2016-05-23,CERN,Health Care,54.48,55.01,54.1,54.14
2016-05-23,CI,Health Care,128.47,128.5,125.01,126.15
2016-05-23,CNC,Health Care,28.65,28.93,28.45,28.71
2016-05-23,COO,Health Care,160.85,161.99,159.98,161.1
2016-05-23,CTLT,Health Care,28.59,29.48,27.59,28.27
2016-05-23,CVS,Health Care,99.58,99.71,97.94,98.07
2016-05-23,DGX,Health Care,76.52,76.52,75.49,76.1
2016-05-23,DHR,Health Care,98.32,99.05,98.0,98.84
2016-05-23,DVA,Health Care,77.24,77.52,76.58,76.78
2016-05-23,DXCM,Health Care,63.15,64.41,62.88,63.48
2016-05-23,EW,Health Care,33.21,33.6567,33.2,33.34
2016-05-23,GILD,Health Care,83.02,84.03,82.25,83.33
2016-05-23,HCA,Health Care,76.79,77.09,75.96,76.22
2016-05-23,HOLX,Health Care,33.48,33.54,33.05,33.08
2016-05-23,HSIC,Health Care,67.071,67.1024,66.2866,66.3612
2016-05-23,HUM,Health Care,170.0,172.97,169.08,169.59
2016-05-23,IDXX,Health Care,89.27,89.38,87.9,88.12
2016-05-23,ILMN,Health Care,140.62,141.93,139.63,139.83
2016-05-23,INCY,Health Care,77.97,82.07,77.695,80.68
2016-05-23,IQV,Health Care,66.38,66.84,65.88,65.97
2016-05-23,ISRG,Health Care,210.53,210.705,208.15,209.55
2016-05-23,JNJ,Health Care,112.77,112.82,112.04,112.16
2016-05-23,LH,Health Care,126.36,126.895,124.71,126.6
2016-05-23,LLY,Health Care,75.0,75.14,73.92,74.08
2016-05-23,MCK,Health Care,179.88,181.57,178.28,178.65
2016-05-23,MDT,Health Care,80.57,80.67,80.24,80.3
2016-05-23,MRK,Health Care,55.0,55.23,54.78,54.92
2016-05-23,MTD,Health Care,365.24,369.1,362.36,366.21
2016-05-23,PFE,Health Care,33.83,33.91,33.65,33.67
2016-05-23,PKI,Health Care,54.04,54.28,53.8,53.9
2016-05-23,PRGO,Health Care,94.56,94.6,92.95,93.5
2016-05-23,REGN,Health Care,386.46,396.99,384.312,392.64
2016-05-23,RMD,Health Care,57.77,57.9,57.32,57.42
2016-05-23,STE,Health Care,70.03,70.16,68.5699,68.69
2016-05-23,SYK,Health Care,110.17,110.6,109.82,110.27
2016-05-23,TFX,Health Care,159.15,159.72,158.31,158.37
2016-05-23,TMO,Health Care,148.85,149.44,147.87,148.84
2016-05-23,UHS,Health Care,133.76,133.76,131.52,132.04
2016-05-23,UNH,Health Care,130.125,131.2,130.01,130.42
2016-05-23,VRTX,Health Care,84.28,85.6,83.3,84.42
2016-05-23,WAT,Health Care,135.26,135.882,134.17,135.11
2016-05-23,WST,Health Care,73.05,73.43,72.23,72.3
2016-05-23,XRAY,Health Care,60.98,61.32,60.33,60.36
2016-05-23,ZBH,Health Care,119.38,119.97,118.96,119.43
2016-05-23,ZTS,Health Care,47.0,47.04,46.4,46.4
2016-05-24,A,Health Care,44.76,45.29,44.7,45.03
2016-05-24,ABBV,Health Care,59.73,60.91,59.52,60.7
2016-05-24,ABC,Health Care,74.37,74.59,73.89,74.34
